"","placebo","intervention"
"1",4.792,6.241
"2",5.643,4.852
"3",4.573,5.318
"4",7.125,4.899
"5",5.796,3.642
"6",4.589,4.556
"7",5.962,4.575
"8",6.225,4.894
"9",6.055,5.995
"10",5.129,5.675
"11",7.037,4.794
"12",5.859,4.709
"13",4.798,5.612
"14",3.125,5.479
"15",6.631,4.296
"16",5.403,4.278
"17",5.433,5.296
"18",6.441,5.68
"19",6.312,4.843
"20",6.074,5.787
"21",6.415,5.328
"22",6.271,4.369
"23",5.528,5.274
"24",3.361,3.877
"25",6.101,6.311
"26",5.391,6.831
"27",5.286,4.601
"28",3.906,3.958
"29",4.948,5.491
"30",5.889,4.822
